"senador","nro_de_orden","inicio_periodo_legal","cese_periodo_legal","inicio_periodo_real","cese_periodo_real","provincia","partido_politico","reemplazo","observaciones"
"RACEDO,  LUCIO",3041,"1958-03-31","1967-04-30","1958-03-31","1962-09-06","CIUDAD AUTÓNOMA de BUENOS AIRES","SIN ESPECIFICAR","DISOLUCION DEL P. LEGISLATIVO,","SE DENOMINA CAPITAL FEDERAL A LA ACTUAL CIUDAD AUTONOMA DE BUENOS AIRES. DISOLUCION DEL PODER LEGISLATIVO EL 6 DE SEPTIEMBRE DE 1962."
"BASSI,  RICARDO ALBERTO",3042,"1963-08-12","1972-04-30","1963-08-12","1966-06-28","CIUDAD AUTÓNOMA de BUENOS AIRES","U. C. R. DEL PUEBLO","DISOLUCION DEL P. LEGISLATIVO,","SE DENOMINA CAPITAL FEDERAL A LA ACTUAL CIUDAD AUTONOMA DE BUENOS AIRES. DISOLUCION DEL PODER LEGISLATIVO EL 28 DE JUNIO DE 1966."
"ZARRIELO, RAUL JORGE",3043,"1973-05-03","1977-03-31","1973-05-03","1976-03-24","CIUDAD AUTÓNOMA de BUENOS AIRES","UNIÓN CÍVICA RADICAL","DISOLUCION DEL P. LEGISLATIVO,","SE DENOMINA CAPITAL FEDERAL A LA ACTUAL CIUDAD AUTONOMA DE BUENOS AIRES. DISOLUCION DEL PODER LEGISLATIV0 EL 24 DE MARZO DE 1976."
"TRILLA, JUAN",45,"1983-11-29","1992-12-09","1983-11-29","1992-12-09","CIUDAD AUTÓNOMA de BUENOS AIRES","UNIÓN CÍVICA RADICAL","DE LA RUA, FERNANDO","SE DENOMINA CAPITAL FEDERAL A LA ACTUAL CIUDAD AUTONOMA DE BUENOS AIRES. LO REEMPLAZA FERNANDO DE LA RUA POR EXPIRACION DE MANDATO."
"GARCIA ARECHA, JOSE MARIA",244,"1992-12-02","2001-12-09","1997-12-17","2001-12-09","CIUDAD AUTÓNOMA de BUENOS AIRES","UNIÓN CÍVICA RADICAL","IBARRA, VILMA LIDIA","SE DENOMINA CAPITAL FEDERAL A LA ACTUAL CIUDAD AUTONOMA DE BUENOS AIRES. COMPLETA EL PERIODO DE FERNANDO DE LA RUA ( 1992/2001 )."
"ALSINA,   VALENTIN",3044,"1862-05-24","1868-04-30","1862-05-24","1868-04-30","BUENOS AIRES","AUTONOMISTA DE BUENOS AIRES","ALSINA,   VALENTIN","SE INCORPORA AL SENADO DE LA NACION."
"ALSINA,   VALENTIN",3044,"1868-05-02","1877-04-30","1868-05-02","1869-09-06","BUENOS AIRES","AUTONOMISTA DE BUENOS AIRES","QUINTANA,  MANUEL","REELECTO. FALLECE EN 1869. LO REEMPLAZA MANUEL QUINTANA.( 1870/1877 )."
"RICA,  DIEGO ISIDRO",3045,"1958-03-31","1961-04-30","1958-03-31","1961-04-30","CHUBUT","SIN ESPECIFICAR","ZUBASTI,  EUSEBIO",NA
"ZUBASTI,  EUSEBIO",3046,"1961-06-08","1970-04-30","1961-06-08","1962-09-06","CHUBUT","SIN ESPECIFICAR","DISOLUCION DEL P. LEGISLATIVO,","REEMPLAZA A DIEGO RICA POR EXPIRACION DE MANDATO. DISOLUCION DEL PODER LEGISLATIVO EL 6 DE SEPTIEMBRE DE 1962."
"VARELA DIAZ,  DIOGENES",3047,"1963-08-12","1966-04-30","1963-08-12","1966-04-30","CHUBUT","U. C. R. DEL PUEBLO","VIGLIONE,  ATILIO OSCAR",NA
"SOLARI YRIGOYEN, HIPOLITO",43,"1973-05-03","1977-03-31","1973-05-03","1976-03-24","CHUBUT","UNIÓN CÍVICA RADICAL","DISOLUCION DEL P. LEGISLATIVO,","DISOLUCION DEL PODER LEGISLATIVO EL 24 DE MARZO DE 1976."
"VIGLIONE,  ATILIO OSCAR",3048,"1966-05-05","1975-04-30","1966-05-05","1966-06-28","CHUBUT","SIN ESPECIFICAR","DISOLUCION DEL P. LEGISLATIVO,","REEMPLAZA A VARELA DIAZ POR EXPIRACION DE MANDATO. DISOLUCION DEL PODER LEGISLATIVO EL 28 DE JUNIO DE 1966."
"CHAILE,  JUAN CARLOS",3049,"1973-05-03","1977-03-31","1973-05-03","1976-03-24","CHUBUT","FREJULI","DISOLUCION DEL P. LEGISLATIVO,","DISOLUCION DEL PODER LEGISLATIVO EL 24 DE MARZO DE 1976."
"GARCIA, ALFREDO",58,"1986-12-11","1995-12-09","1986-12-11","1987-02-20","CHUBUT","UNIÓN CÍVICA RADICAL","SOLARI YRIGOYEN, HIPOLITO","REEMPLAZA A SIGAL POR EXPIRACION DEL MANDATO. FALLECE EL 20 DE FEBRERO DE 1987. LO REEMPLAZA SOLARI YRIGOYEN."
"SALA, OSVALDO RUBEN",226,"1995-11-29","2001-12-09","1995-11-29","2001-12-09","CHUBUT","JUSTICIALISTA","MAESTRO, CARLOS","REEMPLAZA A SOLARI YRIGOYEN POR EXPIRACION DE MANDATO."
"SAEZ, JOSE MARIA",225,"1995-11-29","2001-12-09","1995-11-29","2001-12-09","CHUBUT","UNIÓN CÍVICA RADICAL","GUINLE, MARCELO ALEJANDRO HORACIO","POR LA REFORMA CONSTITUCIONAL DE 1994 ES ELEGIDO TERCER SENADOR."
"CIARLOTTI,  PEDRO ANTONIO",3050,"1958-03-31","1961-04-30","1958-03-31","1961-04-30","CHUBUT","SIN ESPECIFICAR","CIARLOTTI,  PEDRO ANTONIO",NA
"CIARLOTTI,  PEDRO ANTONIO",3050,"1961-06-07","1970-04-30","1961-06-07","1962-09-06","CHUBUT","SIN ESPECIFICAR","DISOLUCION DEL P. LEGISLATIVO,","REELECTO. DISOLUCION DEL PODER LEGISLATIVO EL 6 DE SEPTIEMBRE DE 1962."
"LOPEZ,  JORGE OSCAR",3051,"1963-08-12","1969-04-30","1963-08-12","1966-06-28","CHUBUT","U. C. R. DEL PUEBLO","DISOLUCION DEL P. LEGISLATIVO,","DISOLUCION DEL PODER LEGISLATIVO EL 28 DE JUNIO DE 1966."
"LORENZO,  RAMON",3052,"1973-05-03","1977-03-31","1973-05-03","1976-03-24","CHUBUT","SIN ESPECIFICAR","DISOLUCION DEL P. LEGISLATIVO,","DISOLUCION DEL PODER LEGISLATIVO EL 24 DE MARZO DE 1976."
"WOODLEY, KENNETH W.",75,"1983-11-29","1989-12-09","1983-11-29","1986-10-12","CHUBUT","UNIÓN CÍVICA RADICAL","DEL VILLAR, MANUEL","FALLECE EL 12 DE OCTUBRE DE 1986. LO REEMPLAZA MANUEL  DEL VILLAR."
"DEL VILLAR, MANUEL",56,"1986-12-11","1989-12-09","1986-12-11","1988-06-23","CHUBUT","UNIÓN CÍVICA RADICAL","CORCHUELO BLASCO, HEBE","COMPLETA EL PERIODO DE K. WOODLEY. FALLECE EL 23 DE JUNIO DE  1988. LO REEMPLAZA HEBE CORCHUELO BLASCO."
"CORCHUELO BLASCO, HEBE",54,"1986-12-11","1989-12-09","1988-07-27","1989-12-09","CHUBUT","JUSTICIALISTA","MAC KARTHY, CESAR","COMPLETA EL PERIODO DE MANUEL DEL VILLAR QUE FALLECE."
"ALTUNA, JUAN CARLOS",246,"1998-11-25","2001-12-09","1998-11-25","2001-12-09","CHUBUT","UNIÓN CÍVICA RADICAL","RASO, MARTA ETHEL","REEMPLAZA AL SENADOR CESAR MAC KARTHY POR EXPIRACION DE MANDATO."
"QUINTANA,  MANUEL",3053,"1870-04-30","1877-04-30","1870-04-30","1877-04-30","BUENOS AIRES","SIN ESPECIFICAR","DEL VALLE,  ARISTOBULO","COMPLETA EL PERIODO DE VALENTIN ALSINA (1868/1877). LO REEMPLAZA ARISTOBULO DEL VALLE."
"DEL VALLE,  ARISTOBULO",3054,"1877-05-03","1886-04-30","1877-05-03","1886-04-30","BUENOS AIRES","SIN ESPECIFICAR","DEL VALLE,  ARISTOBULO","REEMPLAZA A MANUEL QUINTANA POR EXPIRACION DE MANDATO."
"LEON, LUIS A.",19,"1973-05-03","1977-03-31","1973-05-03","1976-03-24","CHACO","UNIÓN CÍVICA RADICAL","DISOLUCION DEL P. LEGISLATIVO,","DISOLUCION DEL PODER LEGISLATIVO EL 24 DE MARZO DE 1976."
"LEON, LUIS A.",19,"1983-11-29","1992-12-09","1983-11-29","1992-12-09","CHACO","UNIÓN CÍVICA RADICAL","LEON, LUIS A.",NA
"CAFIERO, ANTONIO FRANCISCO",88,"1992-12-02","2001-12-09","1992-12-02","2001-12-09","BUENOS AIRES","JUSTICIALISTA","DUHALDE, EDUARDO ALBERTO","REEMPLAZA A ADOLFO GASS POR EXPIRACION DE MANDATO."
"LEON, LUIS A.",19,"1992-12-02","2001-12-09","1992-12-02","2001-12-09","CHACO","UNIÓN CÍVICA RADICAL","MORO, EDUARDO ANÍBAL","REELECTO."
"ZALAZAR, HORACIO ANIBAL",231,"1995-12-06","2001-12-09","1995-12-06","2001-12-09","CHACO","JUSTICIALISTA","CAPITANICH, JORGE MILTON","POR LA REFORMA CONSTITUCIONAL DE 1994 ES ELEGIDO TERCER SENADOR."
"BIAIN,  PABLO",3002,"1958-03-31","1964-04-30","1958-03-31","1962-09-06","CHACO","SIN ESPECIFICAR","DISOLUCION DEL P. LEGISLATIVO,","DE 1953 A1955 CHACO SE LLAMO PRESIDENTE PERON. DISOLUCION DEL PODER LEGISLATIVO EL 6 DE SEPTIEMBRE DE 1962"
"LUBARY,  GINES A.",3003,"1963-08-12","1966-04-30","1963-08-12","1966-04-30","CHACO","CONSERVADOR DEL CHACO","MOYA,  ARMENGOL ROQUE","EL SENADOR ARMENGOL MOYA LO REEMPLAZA POR EXPIRACION DE MANDATO."
"MOYA,  ARMENGOL ROQUE",3004,"1966-05-05","1975-04-30","1966-05-05","1966-06-28","CHACO","SIN ESPECIFICAR","DISOLUCION DEL P. LEGISLATIVO,","DISOLUCION DEL PODER LEGISLATIVO EL 28 DE JUNIO DE 1966. REEMPLAZA A LUBARY POR EXPIRACION DE MANDATO."
"BARONI,  DANILO LUIS",3005,"1973-05-03","1977-03-30","1973-05-03","1976-03-24","CHACO","FREJULI","DISOLUCION DEL P. LEGISLATIVO,","DISOLUCION DEL PODER LEGISLATIVO EL 24 DE MARZO DE 1976."
"TAVELLA,  PEDRO CESAR",3007,"1955-04-26","1961-04-30","1955-04-26","1955-09-21","CHACO","SIN ESPECIFICAR","DISOLUCION DEL P. LEGISLATIVO,","DISOLUCION DEL PODER LEGISLATIVO EL 21 DE SEPTIEMBRE DE 1955. REEMPLAZA  A RUIZ VILLASUSO POR EXPIRACION DE MANDATO. CHACO SE LLAMO PRESIDENTE PERON DE 1953 A 1955."
"DE LLAMAS,  ENRIQUE V.",3008,"1958-03-31","1967-04-30","1958-03-31","1962-09-06","CHACO","SIN ESPECIFICAR","DISOLUCION DEL P. LEGISLATIVO,","DISOLUCION DEL PODER LEGISLATIVO EL 6 DE SEPTIEMBRE DE 1962."
"RAMIREZ,  LAURO FRANCISCO",3009,"1963-08-12","1972-04-30","1963-08-12","1966-06-28","CHACO","UNION POPULAR","DISOLUCION DEL P. LEGISLATIVO,","DISOLUCION DEL PODER LEGISLATIVO EL 28 DE JUNIO DE 1966."
"RODRIGUEZ,  GINES FROILAN",3010,"1973-05-03","1977-03-31","1973-05-03","1976-03-24","CHACO","FREJULI","DISOLUCION DEL P. LEGISLATIVO,","DISOLUCION DEL PODER LEGISLATIVO EL 24 DE MARZO DE 1976."
"BITTEL, DEOLINDO FELIPE",4,"1983-11-29","1989-12-09","1983-11-29","1987-02-10","CHACO","JUSTICIALISTA","TENEV, CARLOS","RENUNCIO EL 10 DE FEBRERO DE 1987. LO REEMPLAZA CARLOS TENEV."
"BITTEL, DEOLINDO FELIPE",4,"1989-12-06","1998-12-09","1989-12-06","1997-09-22","CHACO","JUSTICIALISTA","SAGER, HUGO ABEL","FALLECE EL 22 DE SEPTIEMBRE DE 1997. LO REEMPLAZA HUGO SAGER."
"TENEV, CARLOS",72,"1988-03-24","1989-12-09","1988-03-24","1989-12-09","CHACO","JUSTICIALISTA","BITTEL, DEOLINDO FELIPE","COMPLETA EL PERIODO DE DEOLINDO BITTEL ( 1983 - 1989 )"
"SAGER, HUGO ABEL",242,"1997-12-09","1998-12-09","1997-12-09","1998-12-09","CHACO","JUSTICIALISTA","SAGER, HUGO ABEL","COMPLETA EL PERIODO DE DEOLINDO BITTEL ( 1989 -1998 ) POR FALLECIMIENTO."
"SAGER, HUGO ABEL",242,"1998-11-25","2001-12-09","1998-11-25","2001-12-09","CHACO","JUSTICIALISTA","CURLETTI, MIRIAN BELÉN","REELECTO."
"ALVEAR,  DIEGO DE",3011,"1882-05-04","1883-04-30","1882-05-04","1883-04-30","CIUDAD AUTÓNOMA de BUENOS AIRES","SIN ESPECIFICAR","ALVEAR,  DIEGO DE","SE LLAMA CAPITAL FEDERAL A LA ACTUAL CIUDAD AUTONOMA DE BUENOS AIRES"
"ALEM,  LEANDRO NICEFORO",3014,"1883-04-30","1892-04-30","1891-05-19","1892-04-30","CIUDAD AUTÓNOMA de BUENOS AIRES","UNIÓN CÍVICA RADICAL","IGARZABAL,  RAFAEL","SE DENOMINA CAPITAL FEDERAL A LA ACTUAL CIUDAD AUTONOMA DE BUENOS AIRES. REEMPLAZA A JULIO ARGENTINO ROCA QUE RENUNCIA EN 1890."
"URIBURU,  JOSE EVARISTO",3016,"1901-05-09","1910-04-30","1901-05-09","1910-04-30","CIUDAD AUTÓNOMA de BUENOS AIRES","SIN ESPECIFICAR","AVELLANEDA,  MARCO","SE DENOMINA CAPITAL FEDERAL A LA ACTUAL CIUDAD AUTONOMA DE BUENOS AIRES. REEMPLAZA A RAFAEL IGARZABAL POR EXPIRACION DE MANDATO."
"AVELLANEDA,  MARCO",3017,"1910-04-29","1919-04-30","1910-04-29","1911-01-09","CIUDAD AUTÓNOMA de BUENOS AIRES","SIN ESPECIFICAR","CROTTO,  JOSE CAMILO","SE DENOMINA CAPITAL FEDERAL A LA ACTUAL CIUDAD AUTONOMA DE BUENOS AIRES. FALLECE EL 9 DE ENERO DE 1911. LO REEMPLAZA JOSE CAMILO CROTTO ( 1912/1918 )."
"CROTTO,  JOSE CAMILO",3018,"1912-05-21","1919-04-30","1912-05-21","1918-05-01","CIUDAD AUTÓNOMA de BUENOS AIRES","UNIÓN CÍVICA RADICAL","GALLO,  VICENTE C.","SE DENOMINA CAPITAL FEDERAL A LA ACTUAL CIUDAD AUTONOMA DE BUENOS AIRES. COMPLETA EL PERIODO DE MARCO AVELLANEDA. RENUNCIA EN 1918 PARA SER GOBERNADOR DE BUENOS AIRES. NO SE COMPLETA EL PERIODO DE ESTA BANCA."
"GALLO,  VICENTE C.",3019,"1919-04-30","1928-04-30","1919-04-30","1923-12-01","CIUDAD AUTÓNOMA de BUENOS AIRES","UNIÓN CÍVICA RADICAL","JUSTO,  JUAN BAUTISTA","SE DENOMINA CAPITAL FEDERAL A LA ACTUAL CIUDAD AUTONOMA DE BUENOS AIRES.RENUNCIA EN 1923 PARA SER MINISTRO DEL INTERIOR. LO REEMPLAZA JUAN B. JUSTO ( 1924/1928 )."
"RODRIGUEZ,  MANUEL F.",3194,"1883-04-30","1892-04-30","1883-04-30","1892-04-30","CATAMARCA","SIN ESPECIFICAR","FIGUEROA,  FRANCISCO C.","REEMPLAZA A MARCOS FIGUEROA POR EXPIRACION DE MANDATO."
"FIGUEROA,  FRANCISCO C.",3195,"1892-07-07","1901-04-30","1892-07-07","1901-04-30","CATAMARCA","SIN ESPECIFICAR","FIGUEROA,  FRANCISCO C.","REEMPLAZA A MANUEL RODRIGUEZ POR EXPIRACION DE MANDATO."
"GALLO,  SEGUNDO B.",3197,"1919-04-30","1928-04-30","1922-12-19","1928-04-30","CATAMARCA","SIN ESPECIFICAR","SORIA,  FERNANDO M.","REEMPLAZA A CARLOS MALBRAN POR EXPIRACION DE MANDATO"
"CASTILLO,  RAMON S.",3199,"1932-01-20","1935-04-30","1932-01-20","1935-04-30","CATAMARCA","DEMOCRATA NACIONAL","FIGUEROA,  ALBERTO FRANCISCO",NA
"FIGUEROA,  ALBERTO FRANCISCO",3200,"1935-04-30","1944-04-30","1936-06-23","1943-06-05","CATAMARCA","DEMOCRATA NACIONAL","DISOLUCION DEL P. LEGISLATIVO,","REEMPLAZA A RAMON CASTILLO POR EXPIRACION DE MANDATO. DISOLUCION DEL PODER LEGISLATIVO EL 5 DE JUNIO DE 1943."
"ANGULO,  RODOLFO ANTONIO",3203,"1952-04-25","1955-04-30","1952-04-25","1955-04-30","CATAMARCA","SIN ESPECIFICAR","BRUNELLO,  DUILIO ANTONIO RAFAEL","REEMPLAZA A JULIO HERRERA (1946-1949) POR EXPIRACION DE MANDATO. LA BANCA NO SE OCUPA HASTA 1952."
"BRUNELLO,  DUILIO ANTONIO RAFAEL",3204,"1955-04-26","1961-04-30","1955-04-26","1955-09-21","CATAMARCA","SIN ESPECIFICAR","DISOLUCION DEL P. LEGISLATIVO,","REEMPLAZA A RODOLFO ANGULO POR EXPIRACION DE MANDATO. DISOLUCION DEL PODER LEGISLATIVO EL 21 DE SEPTIEMBRE DE 1955."
"GALLO,  VICTORIO MANUEL",3205,"1958-03-31","1967-04-30","1958-03-31","1962-09-06","CATAMARCA","SIN ESPECIFICAR","DISOLUCION DEL P. LEGISLATIVO,","DISOLUCION DEL PODER LEGISLATIVO EL 6 DE SEPTIEMBRE DE 1962."
"ACUÑA,  ERNESTO NICEO",3206,"1963-08-12","1966-04-30","1963-08-12","1966-04-30","CATAMARCA","U. C. R. DEL PUEBLO","ACUÑA,  ERNESTO NICEO",NA
"ACUÑA,  ERNESTO NICEO",3206,"1966-05-19","1975-04-30","1966-05-19","1966-06-28","CATAMARCA","U. C. R. DEL PUEBLO","DISOLUCION DEL P. LEGISLATIVO,","REELECTO. DISOLUCION DEL PODER LEGISLATIVO EL 28 DE JUNIO  DE 1966."
"HERRERA,  DERMIDIO FERNANDO LUCIO",3207,"1973-05-03","1977-03-31","1973-05-03","1976-03-24","CATAMARCA","FREJULI","DISOLUCION DEL P. LEGISLATIVO,","DISOLUCION DEL PODER LEGISLATIVO EL 24 DE MARZO DE 1976."
"BRIZUELA,  GUILLERMO RAMON",3208,"1973-05-03","1977-03-30","1973-05-03","1976-03-24","CATAMARCA","AL. POP. FEDERALISTA-CATAMARCA","DISOLUCION DEL P. LEGISLATIVO,","DISOLUCION DEL PODER LEGISLATIVO EL 24 DE MARZO DE 1976."
"ALVARADO,  RAMON",3209,"1854-10-17","1863-04-30","1855-06-08","1861-12-12","JUJUY","SIN ESPECIFICAR","DISOLUCION DEL P. LEGISLATIVO,","DISOLUCION DEL CONGRESO DE PARANA EL 12 DE DICIEMBRE DE 1861."
"SANCHEZ DE BUSTAMANTE,  PLACIDO",3210,"1857-05-12","1860-03-01","1857-06-09","1860-03-01","JUJUY","SIN ESPECIFICAR","ES SENADOR SUPLENTE,","SUPLENTE. PASA A TITULAR."
"SANCHEZ DE BUSTAMANTE,  PLACIDO",3210,"1854-10-17","1863-04-30","1860-03-01","1861-12-12","JUJUY","SIN ESPECIFICAR","DISOLUCION DEL P. LEGISLATIVO,","COMPLETA EL PERIODO DE JOSE B. BARCENA. DISOLUCION DEL CONGRESO DE PARANA EL 12 DE DICIEMBRE DE 1861."
"SANCHEZ DE BUSTAMANTE,  PLACIDO",3210,"1862-05-24","1868-04-30","1863-06-02","1868-04-30","JUJUY","SIN ESPECIFICAR","SANCHEZ DE BUSTAMANTE,  PLACIDO",NA
"SANCHEZ DE BUSTAMANTE,  PLACIDO",3210,"1868-06-30","1877-04-30","1868-06-30","1877-04-30","JUJUY","SIN ESPECIFICAR","CARRILLO,  PABLO","REELECTO."
"CARRILLO,  PABLO",3211,"1877-06-07","1886-04-30","1877-06-07","1886-04-30","JUJUY","SIN ESPECIFICAR","TELLO,  EUGENIO","REEMPLAZA A SANCHEZ DE BUSTAMANTE PLACIDO POR EXPIRACION DE MANDATO."
"TELLO,  EUGENIO",3212,"1886-05-01","1895-04-30","1886-05-01","1895-04-30","JUJUY","SIN ESPECIFICAR","APARICIO,  CASTULO","REEMPLAZA A PABLO CARRILLO POR EXPIRACION DE MANDATO."
"APARICIO,  CASTULO",3213,"1895-05-06","1904-04-30","1895-05-06","1904-04-30","JUJUY","SIN ESPECIFICAR","ALVARADO,  SERGIO F.","REEMPLAZA A EUGENIO TELLO POR EXPIRACION DE MANDATO."
"ALVARADO,  SERGIO F.",3214,"1904-05-02","1913-04-30","1904-05-02","1910-05-01","JUJUY","SIN ESPECIFICAR","CARRILLO,  MANUEL","RENUNCIA EN 1910 Y ASUME COMO GOBERNADOR DE LA PROVINCIA DE JUJUY EL 4 DE MAYO DE 1910. LO REEMPLAZA MANUEL CARRILLO."
"CARRILLO,  MANUEL",3215,"1904-05-02","1913-04-30","1910-06-07","1913-04-30","JUJUY","SIN ESPECIFICAR","ITURBE,  OCTAVIO","COMPLETA EL PERIODO DE SERGIO ALVARADO."
"ITURBE,  OCTAVIO",3216,"1913-09-16","1922-04-30","1913-09-16","1922-04-30","JUJUY","SIN ESPECIFICAR","SANCHEZ DE BUSTAMANTE,  TEOFILO","REEMPLAZA A MANUEL CARRILLO POR EXPIRACION DE MANDATO."
"SANCHEZ DE BUSTAMANTE,  TEOFILO",3217,"1922-05-01","1931-04-30","1924-05-30","1930-08-07","JUJUY","SIN ESPECIFICAR","DISOLUCION DEL P. LEGISLATIVO,","REEMPLAZA A OCTAVIO ITURBE POR EXPIRACION DE MANDATO. FALLECE EN 1930. DISOLUCION DEL PODER LEGISLATIVO EL 6 DE SEPTIEMBRE DE 1930."
"VILLAFAÑE,  BENJAMIN (h)",3218,"1932-01-20","1941-01-19","1932-01-20","1941-01-19","JUJUY","POPULAR DE JUJUY","ZABALA,  PLINIO",NA
"ZABALA,  PLINIO",3219,"1941-01-31","1950-01-19","1941-01-31","1943-06-05","JUJUY","SIN ESPECIFICAR","DISOLUCION DEL P. LEGISLATIVO,","REEMPLAZA A BENJAMIN VILLAFAÑE (h) POR EXPIRACION DE MANDATO. DISOLUCION DEL PODER LEGISLATIVO EL 5 DE JUNIO DE 1943."
"GOMEZ HENRIQUEZ,  SAMUEL",3220,"1946-05-22","1955-04-30","1946-05-22","1952-04-30","JUJUY","SIN ESPECIFICAR","GIMENEZ,  FRANCISCO","POR REFORMA DE LA CONSTITUCION DEL 11 DE MARZO DE 1949. CULMINA MANDATO EN 1952."
"GIMENEZ,  FRANCISCO",3221,"1952-04-25","1955-04-30","1952-04-25","1955-04-30","JUJUY","SIN ESPECIFICAR",NA,"REEMPLAZA A SAMUEL GOMEZ HENRIQUEZ POR EXPIRACION DE MANDATO."
"MARTIARENA, JOSE H.",63,"1955-05-05","1961-04-30","1955-05-05","1955-09-21","JUJUY","PERONISTA","DISOLUCION DEL P. LEGISLATIVO,","REEMPLAZA A FRANCISCO GIMENEZ POR EXPIRACION DE MANDATO. DISOLUCION DEL PODER LEGISLATIVO EL 21 DE SEPTIEMBRE DE 1955."
"MARTIARENA, JOSE H.",63,"1973-05-03","1977-03-31","1973-05-03","1976-03-24","JUJUY","FREJULI","DISOLUCION DEL P. LEGISLATIVO,","DISOLUCION DEL PODER LEGISLATIVO EL 24 DE MARZO DE 1976."
"MARTIARENA, JOSE H.",63,"1983-12-21","1989-12-09","1983-12-21","1988-08-15","JUJUY","JUSTICIALISTA","JORGE, ANNUAR","FALLECE EL 15 DE AGOSTO DE1988. LO REEMPLAZA ANNUAR JORGE."
"GUZMAN,  BENJAMIN",3223,"1958-03-31","1967-04-30","1958-03-31","1962-09-06","JUJUY","SIN ESPECIFICAR","DISOLUCION DEL P. LEGISLATIVO,","DISOLUCION DEL PODER LEGISLATIVO EL 6 DE SEPTIEMBRE DE 1962."
"OVANDO,  RICARDO",3224,"1963-08-12","1969-04-30","1963-08-12","1966-06-28","JUJUY","BLANCO DE LOS TRABAJ.-JUJUY","DISOLUCION DEL P. LEGISLATIVO,","DISOLUCION DEL PODER LEGISLATIVO EL 28 DE JUNIO DE 1966."
"SNOPEK, GUILLERMO",3225,"1963-08-12","1966-04-30","1963-08-12","1966-04-30","JUJUY","BLANCO DE LOS TRABAJ.-JUJUY","SNOPEK, CARLOS",NA
"JORGE, ANNUAR",60,"1983-12-21","1989-12-09","1988-11-23","1989-12-09","JUJUY","UNIÓN CÍVICA RADICAL","SNOPEK, CARLOS","COMPLETA EL PERIODO DE JOSE MARTIARENA. LO REEMPLAZA CARLOS SNOPEK."
",",3227,"1966-04-26","1975-04-30","1966-04-26","1966-06-22","JUJUY","SIN ESPECIFICAR",NA,"DISOLUCION DEL PODER LEGISLATIVO EL 28 DE JUNIO DE 1966. REEMPLAZA A GUILLERMO SNOPEK (1963-1966). POR EXPIRACION DE MANDATO."
",",3227,"1989-12-10","1998-12-09","1989-12-10","1991-12-09","JUJUY","JUSTICIALISTA","SNOPEK, GUILLERMO EUGENIO","REEMPLAZA A ANNUAR JORGE POR EXPIRACION DE MANDATO. FALLECE EN 1992. LO REEMPLAZA GUILLERMO EUGENIO  SNOPEK."
"TELL, ALBERTO MAXIMO",233,"1996-02-07","1998-12-09","1996-02-07","1998-12-09","JUJUY","JUSTICIALISTA","TELL, ALBERTO MAXIMO","COMPLETA EL PERIODO DE GUILLERMO EUGENIO SNOPEK QUE RENUNCIO PARA SER GOBERNADOR."
"TELL, ALBERTO MAXIMO",233,"1998-11-25","2001-12-09","1998-11-25","2001-12-09","JUJUY","JUSTICIALISTA","MORALES, GERARDO RUBÉN","REELECTO."
"BARCENA,  JOSE BENITO",3230,"1868-05-02","1877-04-30","1875-05-15","1877-04-30","JUJUY","SIN ESPECIFICAR","BARCENA,  JOSE BENITO","COMPLETA EL PERIODO DE DANIEL ARAOZ QUE FALLECE."
"BARCENA,  JOSE BENITO",3230,"1877-06-07","1886-04-30","1877-06-07","1886-04-30","JUJUY","SIN ESPECIFICAR","PEREZ,  DOMINGO TEOFILO","REELECTO."
"ARAOZ,  DANIEL",3231,"1868-05-02","1877-04-30","1868-05-02","1874-12-08","JUJUY","SIN ESPECIFICAR","BARCENA,  JOSE BENITO","FALLECE EN 1874. LO REEMPLAZA JOSE BENITO BARCENA."
"PEREZ,  DOMINGO TEOFILO",3232,"1886-05-01","1895-04-30","1886-05-01","1895-04-30","JUJUY","SIN ESPECIFICAR","PEREZ,  DOMINGO TEOFILO",NA
"PEREZ,  DOMINGO TEOFILO",3232,"1895-05-06","1904-04-30","1895-05-06","1904-04-30","JUJUY","SIN ESPECIFICAR","PEREZ,  DOMINGO TEOFILO","REELECTO."
"PEREZ,  DOMINGO TEOFILO",3232,"1904-05-19","1913-04-30","1904-05-19","1910-05-18","JUJUY","SIN ESPECIFICAR","PADILLA,  MANUEL","REELECTO. FALLECE EN 1910. LO REEMPLAZA M. PADILLA."
"PADILLA,  MANUEL",3233,"1904-05-19","1913-04-30","1911-05-20","1913-04-30","JUJUY","SIN ESPECIFICAR","ZABALA,  CARLOS","COMPLETA EL PERIODO DE DOMINGO T. PEREZ QUE FALLECIO (1904/1913)."
"ZABALA,  CARLOS",3234,"1913-09-16","1922-04-30","1913-09-16","1922-04-30","JUJUY","SIN ESPECIFICAR","ZABALA,  CARLOS",NA
"ZABALA,  CARLOS",3234,"1922-05-01","1931-04-30","1924-05-30","1926-08-02","JUJUY","SIN ESPECIFICAR","CAMPOS,  RUDECINDO S.","REELECTO. FALLECE EN 1926. LO REEMPLAZA RUDECINDO S. CAMPOS. (1927/1930)."
"CAMPOS,  RUDECINDO S.",3235,"1922-05-01","1931-04-30","1927-09-05","1930-09-06","JUJUY","POPULAR DE JUJUY","DISOLUCION DEL P. LEGISLATIVO,","COMPLETA DEL PERIODO DE CARLOS ZABALA. DISOLUCION DEL PODER LEGISLATIVO EL 6 DE SEPTIEMBRE DE 1930."
